Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2022/23 Salary,Salary
Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,0.571,0.0,0.2,0.0,0.7,1.0,0.667,0.571,0.2,0.3,0.5,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,508891,508891
Moses Brown,C,23,LAC,34,1,8.5,1.8,2.8,0.635,0.0,0.0,,1.8,2.8,0.635,0.635,1.0,2.1,0.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6,605405,605405
Sterling Brown,SG,27,LAL,4,0,6.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0,3122602,3122602
Troy Brown,SF,23,LAL,62,38,24.7,2.7,6.2,0.429,1.3,3.7,0.364,1.3,2.6,0.522,0.536,0.5,0.6,0.914,0.9,3.3,4.2,1.2,0.8,0.2,0.7,1.6,7.2,1968175,1968175
Jalen Brunson,PG,26,NYK,62,62,34.9,8.5,17.4,0.487,1.9,4.7,0.414,6.5,12.7,0.514,0.543,4.9,5.9,0.833,0.6,3.0,3.6,6.1,0.9,0.2,2.0,2.2,23.8,27733332,27733332
Thomas Bryant,C,25,TOT,52,25,19.4,4.2,6.6,0.636,0.5,1.0,0.453,3.7,5.5,0.67,0.672,1.8,2.4,0.736,1.5,4.6,6.2,0.6,0.3,0.5,0.7,1.8,10.6,1968175,1968175
Reggie Bullock,SF,31,DAL,65,42,30.3,2.4,6.0,0.399,1.9,5.1,0.374,0.5,1.0,0.532,0.556,0.4,0.5,0.686,0.5,3.0,3.5,1.4,0.8,0.2,0.5,2.3,7.1,10012800,10012800
Alec Burks,SG,31,DET,51,8,22.0,3.9,9.0,0.436,1.9,4.7,0.414,2.0,4.3,0.459,0.544,3.0,3.7,0.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8,10012800,10012800
Deonte Burton,SG,29,SAC,2,0,3.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105522,105522
Jared Butler,SG,22,OKC,2,0,9.5,1.0,2.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.625,0.0,0.0,,0.0,0.5,0.5,2.0,1.5,0.0,1.0,1.5,2.5,1674655,1674655
