Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2022/23 Salary,Salary
Ben Simmons,PG,26,BRK,42,33,26.3,3.2,5.6,0.566,0.0,0.0,0.0,3.2,5.5,0.571,0.566,0.6,1.4,0.439,1.0,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9,35448672,35448672
Marko Simonovic,C,23,CHI,3,0,1.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1563518,1563518
Anfernee Simons,SG,23,POR,59,59,35.0,7.6,16.9,0.451,3.5,9.1,0.384,4.1,7.8,0.531,0.555,2.5,2.7,0.907,0.3,2.4,2.6,4.1,0.7,0.2,2.1,2.3,21.2,22321429,22321429
Jericho Sims,C,24,NYK,49,16,15.8,1.6,2.1,0.769,0.0,0.0,0.0,1.6,2.1,0.777,0.769,0.2,0.3,0.75,1.9,2.8,4.7,0.5,0.3,0.6,0.5,1.9,3.5,1639842,1639842
Marcus Smart,PG,28,BOS,51,51,32.5,4.0,9.8,0.414,1.8,5.4,0.339,2.2,4.3,0.507,0.508,1.5,1.9,0.768,0.7,2.6,3.3,6.5,1.5,0.4,2.4,2.7,11.4,17207142,17207142
Dennis Smith,PG,25,CHO,48,13,25.4,3.5,8.3,0.421,0.4,2.0,0.221,3.0,6.3,0.483,0.447,1.5,2.0,0.74,0.5,2.5,2.9,4.6,1.4,0.5,1.5,2.3,8.9,2133278,2133278
Dru Smith,SG,25,TOT,10,1,12.4,1.8,3.9,0.462,0.5,1.8,0.278,1.3,2.1,0.619,0.526,0.1,0.1,1.0,0.2,1.6,1.8,1.5,0.9,0.4,0.2,1.5,4.2,374357,374357
Jabari Smith,PF,19,HOU,64,64,30.3,4.3,10.9,0.396,1.5,5.1,0.302,2.8,5.8,0.48,0.467,2.0,2.5,0.791,1.4,5.7,7.1,1.2,0.5,0.9,1.4,2.9,12.2,8882640,8882640
Jalen Smith,PF,22,IND,56,28,18.4,3.4,7.3,0.471,0.8,2.9,0.284,2.6,4.4,0.593,0.527,1.5,2.0,0.773,1.8,3.9,5.7,0.9,0.3,0.9,1.1,2.1,9.2,4670160,4670160
Jeremy Sochan,PF,19,SAS,53,50,26.3,4.4,9.8,0.448,0.5,2.3,0.238,3.8,7.5,0.513,0.476,1.4,2.0,0.704,1.8,3.4,5.2,2.6,0.8,0.4,1.7,2.5,10.7,5063520,5063520
Jaden Springer,SG,20,PHI,8,0,3.6,0.9,1.6,0.538,0.0,0.1,0.0,0.9,1.5,0.583,0.538,0.4,0.5,0.75,0.6,0.4,1.0,0.3,0.5,0.3,0.1,0.9,2.1,2125200,2125200
Lamar Stevens,PF,25,CLE,50,19,18.1,2.1,4.6,0.461,0.5,1.5,0.303,1.7,3.1,0.539,0.511,0.7,0.9,0.723,0.8,2.5,3.2,0.6,0.4,0.3,0.5,1.3,5.4,1782621,1782621
Isaiah Stewart,C,21,DET,50,47,28.3,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,0.518,2.2,3.0,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3,3433320,3433320
Max Strus,SF,26,MIA,67,28,29.3,4.2,10.3,0.406,2.5,7.3,0.34,1.7,3.0,0.564,0.525,1.1,1.3,0.881,0.7,2.8,3.4,2.1,0.6,0.2,0.9,2.1,11.9,1815677,1815677
Jalen Suggs,PG,21,ORL,43,16,23.8,3.5,8.3,0.42,1.2,3.7,0.316,2.3,4.6,0.503,0.49,1.6,2.2,0.716,1.1,1.9,3.0,3.3,1.3,0.5,1.9,2.4,9.7,6922320,6922320
Edmond Sumner,SG,27,BRK,47,12,14.5,2.4,5.4,0.455,0.6,1.8,0.349,1.8,3.6,0.506,0.512,2.0,2.1,0.929,0.2,1.3,1.6,1.4,0.7,0.2,0.9,1.6,7.5,1968175,1968175
Cole Swider,SF,23,LAL,6,0,6.7,0.5,1.5,0.333,0.5,1.3,0.375,0.0,0.2,0.0,0.5,0.0,0.0,,0.2,1.0,1.2,0.7,0.0,0.0,0.0,0.5,1.5,508891,508891
Jae'Sean Tate,SF,27,HOU,27,7,21.8,3.5,7.5,0.47,0.4,1.5,0.3,3.1,6.0,0.512,0.5,1.6,2.2,0.729,1.4,2.5,3.9,2.6,0.6,0.2,1.5,3.3,9.1,7065217,7065217
Jayson Tatum,PF,24,BOS,63,63,37.4,10.0,21.5,0.463,3.3,9.4,0.355,6.6,12.0,0.548,0.541,7.1,8.3,0.859,1.1,7.8,8.9,4.7,1.0,0.8,2.9,2.1,30.4,30351780,30351780
Terry Taylor,PF,23,TOT,28,2,8.4,1.1,2.4,0.478,0.1,0.6,0.222,1.0,1.8,0.571,0.507,0.2,0.3,0.714,0.8,0.6,1.4,0.4,0.1,0.2,0.3,0.9,2.6,1703902,1703902
Garrett Temple,SG,36,NOP,20,0,7.1,0.8,2.1,0.366,0.5,1.2,0.391,0.3,0.9,0.333,0.476,0.2,0.2,0.75,0.2,0.5,0.7,0.6,0.5,0.1,0.2,0.7,2.1,5155500,5155500
Dalen Terry,SG,20,CHI,27,0,4.8,0.7,1.5,0.45,0.2,0.6,0.333,0.5,0.9,0.52,0.513,0.2,0.4,0.5,0.3,0.4,0.7,0.6,0.1,0.1,0.2,0.4,1.7,3191400,3191400
Daniel Theis,C,30,IND,7,1,15.6,3.0,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.5,0.7,1.7,0.417,1.0,2.1,3.1,1.3,0.3,0.9,0.4,1.0,7.0,8694369,8694369
Cam Thomas,SG,21,BRK,49,3,16.9,3.6,8.0,0.444,0.9,2.3,0.389,2.7,5.7,0.466,0.5,2.8,3.3,0.858,0.2,1.6,1.8,1.5,0.4,0.1,1.1,1.0,10.8,2138160,2138160
Klay Thompson,SG,32,GSW,56,56,32.8,7.9,18.3,0.433,4.3,10.6,0.407,3.6,7.7,0.469,0.551,1.9,2.1,0.897,0.7,3.4,4.1,2.5,0.7,0.3,1.8,2.0,22.0,40600080,40600080
JT Thor,PF,20,CHO,57,4,11.6,1.0,2.6,0.369,0.3,1.3,0.26,0.6,1.3,0.474,0.433,0.3,0.5,0.621,0.6,1.3,1.8,0.4,0.3,0.2,0.4,0.8,2.6,1563518,1563518
Matisse Thybulle,SG,25,TOT,61,18,15.4,1.4,3.1,0.442,0.7,1.9,0.372,0.7,1.3,0.545,0.553,0.2,0.2,0.714,0.6,1.2,1.8,0.7,1.1,0.4,0.3,1.6,3.6,4379526,4379526
Xavier Tillman,PF,24,MEM,47,16,17.5,2.7,4.5,0.592,0.1,0.3,0.267,2.6,4.2,0.616,0.601,0.8,1.5,0.529,2.0,2.7,4.7,1.4,0.9,0.4,0.7,1.5,6.2,1782621,1782621
Isaiah Todd,PF,21,WAS,4,0,3.3,0.3,1.0,0.25,0.0,0.8,0.0,0.3,0.3,1.0,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1575000,1575000
Obi Toppin,PF,24,NYK,55,0,14.5,2.3,5.6,0.412,1.1,3.3,0.32,1.2,2.3,0.544,0.507,0.5,0.7,0.784,0.5,2.4,2.9,0.8,0.3,0.2,0.5,1.0,6.2,5348280,5348280
Juan Toscano-Anderson,SF,29,TOT,38,7,12.0,1.0,2.2,0.459,0.2,0.7,0.231,0.9,1.6,0.559,0.494,0.3,0.4,0.733,0.4,1.8,2.2,0.9,0.3,0.2,0.6,1.5,2.5,2133278,2133278
Karl-Anthony Towns,PF,27,MIN,21,21,33.8,7.3,14.4,0.505,1.8,5.6,0.325,5.5,8.9,0.618,0.568,4.4,5.0,0.885,1.7,6.5,8.2,5.3,0.8,0.7,3.1,3.9,20.8,33833400,33833400
Gary Trent Jr,SG,24,TOR,59,43,32.7,6.3,14.5,0.432,2.6,7.0,0.366,3.7,7.5,0.493,0.52,2.6,3.2,0.839,0.4,2.2,2.6,1.6,1.6,0.2,0.9,1.6,17.7,17505000,17505000
PJ Tucker,PF,37,PHI,64,64,25.7,1.2,2.9,0.427,0.7,1.8,0.398,0.5,1.1,0.472,0.549,0.3,0.3,0.864,1.3,2.7,4.0,0.8,0.5,0.2,0.6,2.4,3.5,10490000,10490000
Myles Turner,C,26,IND,57,57,29.6,6.5,11.9,0.546,1.6,4.1,0.385,4.9,7.8,0.631,0.613,3.4,4.4,0.782,1.4,6.2,7.6,1.3,0.6,2.4,1.7,3.4,18.0,35096500,35096500
Stanley Umude,SG,23,DET,1,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,58493,58493
Jonas Valanciunas,C,30,NOP,65,65,24.5,5.6,10.1,0.549,0.5,1.4,0.351,5.0,8.7,0.582,0.574,2.4,2.9,0.821,2.8,6.8,9.6,1.7,0.2,0.5,2.0,3.0,14.0,14700000,14700000
Jarred Vanderbilt,PF,23,TOT,64,51,24.2,3.3,5.9,0.554,0.4,1.1,0.319,2.9,4.8,0.609,0.584,1.3,1.9,0.689,2.3,5.5,7.8,2.6,1.1,0.3,1.3,2.5,8.2,4374000,4374000
Fred VanVleet,PG,28,TOR,56,56,37.0,6.2,16.0,0.39,3.0,8.8,0.341,3.3,7.2,0.45,0.484,3.6,4.1,0.899,0.5,3.8,4.3,7.0,1.7,0.6,1.9,2.9,19.1,21250000,21250000
Devin Vassell,SG,22,SAS,33,27,31.0,6.9,15.7,0.438,2.7,6.9,0.388,4.2,8.8,0.478,0.523,2.2,2.8,0.791,0.2,3.6,3.8,3.5,1.1,0.4,1.5,1.5,18.6,4437000,4437000
Gabe Vincent,PG,26,MIA,55,21,26.4,3.3,8.5,0.387,1.7,5.3,0.316,1.6,3.2,0.506,0.486,1.1,1.3,0.884,0.4,1.8,2.2,2.5,0.9,0.1,1.5,2.5,9.3,1815677,1815677
Noah Vonleh,C,27,BOS,23,1,7.4,0.5,1.0,0.458,0.0,0.2,0.25,0.4,0.9,0.5,0.479,0.1,0.1,1.0,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1,1160955,1160955
Nikola Vucevic,C,32,CHI,67,67,33.8,7.3,14.2,0.512,1.6,4.6,0.354,5.6,9.6,0.588,0.57,1.6,1.9,0.82,2.0,9.3,11.3,3.3,0.7,0.8,1.7,2.2,17.7,22000000,22000000
Dean Wade,PF,26,CLE,37,9,20.3,1.7,4.0,0.419,1.0,2.8,0.362,0.6,1.2,0.558,0.547,0.4,0.6,0.652,0.4,3.1,3.5,0.9,0.6,0.5,0.4,2.1,4.8,1930681,1930681
Franz Wagner,SF,21,ORL,67,67,32.9,6.9,14.0,0.488,1.7,4.6,0.372,5.1,9.4,0.545,0.549,3.4,4.1,0.833,0.9,3.0,3.9,3.5,0.9,0.2,2.1,2.3,18.8,5258280,5258280
Moritz Wagner,C,25,ORL,47,17,20.7,3.7,7.5,0.496,1.0,3.2,0.309,2.7,4.3,0.634,0.561,2.8,3.3,0.844,1.3,3.5,4.8,1.6,0.7,0.2,1.2,2.6,11.1,1878720,1878720
Ishmail Wainright,SF,28,PHO,49,1,15.1,1.4,3.8,0.378,1.0,2.9,0.343,0.4,0.9,0.489,0.508,0.4,0.5,0.84,0.8,1.3,2.2,0.9,0.8,0.3,0.4,2.0,4.3,980057,980057
Jabari Walker,SF,20,POR,44,0,8.9,1.0,2.4,0.433,0.2,0.7,0.241,0.9,1.7,0.507,0.466,0.5,0.7,0.742,0.8,1.2,2.0,0.5,0.1,0.2,0.4,0.9,2.7,1017781,1017781
Kemba Walker,PG,32,DAL,9,1,16.0,2.7,6.3,0.421,0.8,3.1,0.25,1.9,3.2,0.586,0.482,1.9,2.3,0.81,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8.0,37281261,37281261
Lonnie Walker,SG,24,LAL,49,32,25.2,4.6,10.2,0.447,1.7,4.8,0.365,2.8,5.5,0.519,0.532,1.8,2.0,0.87,0.3,1.8,2.1,1.3,0.6,0.3,0.9,1.4,12.7,6479000,6479000
John Wall,PG,32,LAC,34,3,22.2,4.1,9.9,0.408,1.0,3.2,0.303,3.1,6.7,0.459,0.457,2.3,3.3,0.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4,47345760,47345760
TJ Warren,PF-SF,29,TOT,32,0,16.6,3.3,6.6,0.502,0.5,1.6,0.34,2.8,5.0,0.553,0.543,0.8,1.0,0.818,0.5,2.2,2.7,0.9,0.5,0.3,0.6,1.6,8.0,2628597,2628597
Duane Washington Jr,SG,22,PHO,31,3,12.7,3.0,8.3,0.367,1.3,3.6,0.36,1.7,4.7,0.372,0.445,0.5,0.8,0.667,0.1,1.1,1.2,2.0,0.2,0.1,1.1,0.7,7.9,628802,628802
PJ Washington,PF,24,CHO,65,65,32.8,5.8,13.1,0.441,2.0,5.8,0.354,3.7,7.3,0.511,0.519,1.7,2.3,0.737,1.0,3.9,4.9,2.4,0.9,1.2,1.5,2.7,15.3,5808435,5808435
TyTy Washington,PG,21,HOU,29,2,13.8,1.9,5.3,0.359,0.6,2.6,0.224,1.3,2.7,0.494,0.415,0.3,0.6,0.625,0.1,1.3,1.4,1.6,0.4,0.1,0.5,0.9,4.7,2210040,2210040
Yuta Watanabe,SF,28,BRK,46,0,17.7,2.2,4.4,0.505,1.2,2.5,0.461,1.1,1.9,0.563,0.636,0.7,0.9,0.756,0.6,2.0,2.6,0.8,0.5,0.3,0.4,1.5,6.3,1968175,1968175
Lindy Waters III,SG,25,OKC,31,0,12.1,1.6,4.1,0.398,1.4,3.8,0.373,0.2,0.3,0.7,0.57,0.5,0.6,0.833,0.3,1.5,1.8,0.7,0.4,0.3,0.3,1.0,5.2,2316876,2316876
Trendon Watford,PF,22,POR,51,2,17.6,2.4,4.2,0.568,0.3,0.9,0.386,2.0,3.3,0.615,0.608,1.0,1.4,0.712,0.7,3.0,3.6,1.9,0.5,0.1,1.1,1.9,6.1,1563518,1563518
Peyton Watson,SG,20,DEN,14,0,3.1,0.7,1.4,0.526,0.1,0.3,0.5,0.6,1.1,0.533,0.579,0.0,0.1,0.0,0.2,0.4,0.6,0.1,0.0,0.1,0.1,0.1,1.6,2193960,2193960
Blake Wesley,SG,19,SAS,22,1,15.8,1.8,5.1,0.345,0.6,1.4,0.419,1.2,3.7,0.317,0.403,0.6,1.0,0.619,0.2,1.7,1.9,1.7,0.5,0.1,1.6,2.0,4.7,2385480,2385480
Russell Westbrook,PG,34,TOT,60,11,28.8,5.8,13.6,0.426,1.2,3.9,0.292,4.6,9.6,0.481,0.469,2.8,4.3,0.661,1.1,4.8,5.9,7.5,1.1,0.4,3.6,2.4,15.6,47080179,47080179
Coby White,SG,22,CHI,59,1,22.3,3.1,7.5,0.415,1.6,4.5,0.352,1.5,2.9,0.511,0.522,0.9,1.0,0.85,0.2,2.4,2.6,2.2,0.7,0.1,0.8,1.6,8.7,7413955,7413955
